TurnNumber,IterationNumber,AgentID,AgentAge,IsAlive,PositionX,PositionY,SelfSacrificeWillingness,AttachmentAnxiety,AttachmentAvoidance,SpecialNote
3,1,a616b32e-04f0-4647-ad0c-a94c811bc3df,65,false,4,3,0.8644122,0.0029912337,0.18851905,Eliminated
3,1,ea8c9fb8-c578-4aa7-82b9-6284225a73fa,85,false,6,5,0.7746773,0.78157747,0.98074824,Eliminated
4,1,035f1c5c-8b8f-4e9e-81d0-42f9629c5dff,16,true,6,5,0.40628082,0.19140378,0.6443485,1
4,1,49f311b7-dcb9-4474-ac5b-dca17fe98628,10,false,6,5,0.9680697,0.29538023,0.8904752,Eliminated
4,1,7f0d6b55-e000-4edb-88fe-bbe17e3185e7,11,false,4,3,0.76018405,0.7598344,0.81061405,Eliminated
4,1,a616b32e-04f0-4647-ad0c-a94c811bc3df,65,false,4,3,0.8644122,0.0029912337,0.18851905,Eliminated
4,1,ea8c9fb8-c578-4aa7-82b9-6284225a73fa,85,false,6,5,0.7746773,0.78157747,0.98074824,Eliminated
0,2,035f1c5c-8b8f-4e9e-81d0-42f9629c5dff,16,true,6,5,0.012591893,0.19140378,0.6443485,1
0,2,49f311b7-dcb9-4474-ac5b-dca17fe98628,10,false,6,5,0.9680697,0.29538023,0.8904752,Eliminated
0,2,7f0d6b55-e000-4edb-88fe-bbe17e3185e7,11,false,4,3,0.76018405,0.7598344,0.81061405,Eliminated
0,2,a616b32e-04f0-4647-ad0c-a94c811bc3df,65,false,4,3,0.8644122,0.0029912337,0.18851905,Eliminated
0,2,ea8c9fb8-c578-4aa7-82b9-6284225a73fa,85,false,6,5,0.7746773,0.78157747,0.98074824,Eliminated
1,2,035f1c5c-8b8f-4e9e-81d0-42f9629c5dff,16,true,6,5,0.22505069,0.19140378,0.6443485,1
1,2,49f311b7-dcb9-4474-ac5b-dca17fe98628,10,false,6,5,0.9680697,0.29538023,0.8904752,Eliminated
1,2,7f0d6b55-e000-4edb-88fe-bbe17e3185e7,11,false,4,3,0.76018405,0.7598344,0.81061405,Eliminated
1,2,a616b32e-04f0-4647-ad0c-a94c811bc3df,65,false,4,3,0.8644122,0.0029912337,0.18851905,Eliminated
1,2,ea8c9fb8-c578-4aa7-82b9-6284225a73fa,85,false,6,5,0.7746773,0.78157747,0.98074824,Eliminated
2,2,035f1c5c-8b8f-4e9e-81d0-42f9629c5dff,16,true,6,5,0.15444477,0.19140378,0.6443485,1
2,2,49f311b7-dcb9-4474-ac5b-dca17fe98628,10,false,6,5,0.9680697,0.29538023,0.8904752,Eliminated
2,2,7f0d6b55-e000-4edb-88fe-bbe17e3185e7,11,false,4,3,0.76018405,0.7598344,0.81061405,Eliminated
2,2,a616b32e-04f0-4647-ad0c-a94c811bc3df,65,false,4,3,0.8644122,0.0029912337,0.18851905,Eliminated
2,2,ea8c9fb8-c578-4aa7-82b9-6284225a73fa,85,false,6,5,0.7746773,0.78157747,0.98074824,Eliminated
3,2,035f1c5c-8b8f-4e9e-81d0-42f9629c5dff,16,true,6,5,0.08528818,0.19140378,0.6443485,1
3,2,49f311b7-dcb9-4474-ac5b-dca17fe98628,10,false,6,5,0.9680697,0.29538023,0.8904752,Eliminated
3,2,7f0d6b55-e000-4edb-88fe-bbe17e3185e7,11,false,4,3,0.76018405,0.7598344,0.81061405,Eliminated
3,2,a616b32e-04f0-4647-ad0c-a94c811bc3df,65,false,4,3,0.8644122,0.0029912337,0.18851905,Eliminated
3,2,ea8c9fb8-c578-4aa7-82b9-6284225a73fa,85,false,6,5,0.7746773,0.78157747,0.98074824,Eliminated
4,2,035f1c5c-8b8f-4e9e-81d0-42f9629c5dff,16,true,6,5,0.57294184,0.19140378,0.6443485,1
4,2,49f311b7-dcb9-4474-ac5b-dca17fe98628,10,false,6,5,0.9680697,0.29538023,0.8904752,Eliminated
4,2,7f0d6b55-e000-4edb-88fe-bbe17e3185e7,11,false,4,3,0.76018405,0.7598344,0.81061405,Eliminated
4,2,a616b32e-04f0-4647-ad0c-a94c811bc3df,65,false,4,3,0.8644122,0.0029912337,0.18851905,Eliminated
4,2,ea8c9fb8-c578-4aa7-82b9-6284225a73fa,85,false,6,5,0.7746773,0.78157747,0.98074824,Eliminated
